Unnamed: 0,label,text,hindi,bengali
10,Psoriasis,"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.",मैंने थकान और अस्वस्थता की एक सामान्य भावना का अनुभव किया है। मैं अक्सर थका हुआ महसूस करता हूं और एक अच्छी रात की नींद के बाद भी ऊर्जा की कमी है।,আমি ক্লান্তি এবং বিপর্যয়ের একটি সাধারণ অনুভূতি অনুভব করেছি। আমি প্রায়শই ক্লান্ত বোধ করি এবং একটি ভাল রাতের ঘুমের পরেও শক্তির অভাব বোধ করি।
11,Psoriasis,"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","मेरी त्वचा पर दाने मेरे शरीर के अन्य हिस्सों में फैल गया है, जिसमें मेरी छाती और पेट भी शामिल है। यह खुजली और असहज है, और यह अक्सर रात में बदतर होता है। मैं भी त्वचा के छीलने का सामना कर रहा हूं।",আমার ত্বকের ফুসকুড়ি আমার বুক এবং পেটে সহ আমার দেহের অন্যান্য অংশে ছড়িয়ে পড়েছে। এটি চুলকানি এবং অস্বস্তিকর এবং এটি প্রায়শই রাতে খারাপ হয়। আমি ত্বকের খোসা ছাড়ারও মুখোমুখি।
12,Psoriasis,The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,मेरी त्वचा पर दाने सर्दियों के महीनों में खराब हो जाती है जब हवा सूखी होती है। मुझे लगता है कि मुझे अधिक बार मॉइस्चराइज करना होगा और अपनी त्वचा को हाइड्रेटेड रखने के लिए ह्यूमिडिफायर का उपयोग करना होगा।,আমার ত্বকে ফুসকুড়ি শীতের মাসগুলিতে আরও খারাপ হয় যখন বাতাস শুকিয়ে যায়। আমি দেখতে পেয়েছি যে আমাকে আরও ঘন ঘন ময়শ্চারাইজ করতে হবে এবং আমার ত্বককে হাইড্রেটেড রাখতে হিউমিডিফায়ার ব্যবহার করতে হবে।
13,Psoriasis,"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","मुझे दाने के कारण होने वाली खुजली और असुविधा के कारण सोने में कठिनाई हुई है। मेरे नाखूनों में छोटे डेंट हैं, जो वास्तव में संबंधित है।","ফুসকুড়ি কারণে চুলকানি এবং অস্বস্তির কারণে আমি ঘুমাতে অসুবিধা পেয়েছি। আমার নখগুলিতে ছোট ছোট ডেন্ট রয়েছে, যা সত্যই সম্পর্কিত।"
14,Psoriasis,"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.","मेरी त्वचा सूखी, परतदार पैच के कारण संक्रमण की संभावना है। मैं अपने जोड़ों में एक मजबूत दर्द का अनुभव कर रहा हूं। मेरे घुटनों और कोहनी पर त्वचा छीलने लगी है।","শুকনো, ফ্লেকি প্যাচগুলির কারণে আমার ত্বক সংক্রমণের ঝুঁকিতে রয়েছে। আমি আমার জয়েন্টগুলিতে একটি শক্ত ব্যথা অনুভব করছি। আমার হাঁটু এবং কনুইয়ের ত্বক খোসা ছাড়তে শুরু করেছে।"
15,Psoriasis,"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","मैं अपनी त्वचा पर चकत्ते होने लगा हूं। जब मैं खरोंच या रगड़ता हूं तो दाने अक्सर खून बहता है। इसके अलावा, मैंने अपने नाखूनों में छोटे डेंट देखे हैं।","আমি আমার ত্বকে ফুসকুড়ি পেতে শুরু করছি। আমি যখন স্ক্র্যাচ বা ঘষে তখন ফুসকুড়ি প্রায়শই রক্তপাত করে। তদুপরি, আমি আমার নখগুলিতে ছোট ছোট ডেন্টগুলি লক্ষ্য করেছি।"
16,Psoriasis,"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","मैंने देखा है कि मेरी त्वचा की तुलना में अधिक संवेदनशील हो गई है। मेरी त्वचा पर धूल की तरह एक चांदी है, खासकर मेरी पीठ और कोहनी पर।","আমি লক্ষ্য করেছি যে আমার ত্বক আগের চেয়ে বেশি সংবেদনশীল হয়ে উঠেছে। আমার ত্বকে ধুলাবালি করার মতো রৌপ্য রয়েছে, বিশেষত আমার পিঠে এবং কনুইতে।"
17,Psoriasis,"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","मैं अपनी हथेली, कोहनी और घुटने पर त्वचा के निरंतर छीलने के बारे में चिंतित हूं। मैंने अपनी बाहों पर चकत्ते विकसित किए हैं, जो अगर मैं उन्हें छूता हूं तो खुजली। ये सभी मेरे जीवन को काफी असुविधाजनक और दयनीय बना रहे हैं।","আমি আমার খেজুর, কনুই এবং হাঁটুতে ত্বকের ধ্রুবক খোসা নিয়ে উদ্বিগ্ন। আমি আমার বাহুতে ফুসকুড়ি তৈরি করেছি, যদি আমি তাদের স্পর্শ করি তবে চুলকানি। এগুলি সবই আমার জীবনকে বেশ অস্বস্তিকর এবং কৃপণ করে তুলছে।"
18,Psoriasis,"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","मेरे जोड़ों में अजीब दर्द है। इसके अलावा, मैंने अपने शरीर के विभिन्न हिस्सों में त्वचा के अजीब छीलने पर ध्यान दिया है। मुझे डर है कि मेरे शरीर के साथ कुछ गलत हो रहा है।","আমার জয়েন্টগুলিতে অদ্ভুত ব্যথা আছে। এছাড়াও, আমি আমার দেহের বিভিন্ন অংশে ত্বকের অদ্ভুত খোসা ছাড়ার বিষয়টি লক্ষ্য করেছি। আমি ভয় পাচ্ছি আমার শরীরের সাথে কিছু ভুল চলছে।"
19,Psoriasis,"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","मेरे नाखूनों में उन पर छोटे डेंट हैं। यहां तक ​​कि मेरे जोड़ों ने भी गंभीर रूप से दर्द होने लगा है। मेरी त्वचा पर धूल की तरह एक चांदी है, खासकर मेरी पीठ में।","আমার নখগুলিতে তাদের উপর ছোট ছোট ডেন্ট রয়েছে। এমনকি আমার জয়েন্টগুলি মারাত্মকভাবে ব্যথা শুরু করেছে। আমার ত্বকে ধুলাবালি করার মতো রৌপ্য রয়েছে, বিশেষত আমার পিঠে।"
20,Psoriasis,"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","मेरी त्वचा पर चकत्ते ठीक नहीं हैं। इसके अलावा, मैंने त्वचा के अचानक छीलने पर ध्यान दिया है, विशेष रूप से मेरी कोहनी और घुटनों पर त्वचा। मैं वास्तव में इस बारे में चिंतित हूं।","আমার ত্বকে ফুসকুড়ি নিরাময় হয় না। তদুপরি, আমি হঠাৎ ত্বকের খোসা ছাড়ার বিষয়টি লক্ষ্য করেছি, বিশেষত আমার কনুই এবং হাঁটুর ত্বক। আমি এই সম্পর্কে সত্যিই উদ্বিগ্ন।"
21,Psoriasis,"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","पिछले कुछ हफ्तों से, मैंने अपनी बाहों, पैरों और छाती पर एक त्वचा पर चकरा दिया है। यह लाल और चिड़चिड़ा है, शुष्क, पपड़ीदार धब्बों के साथ। मुझे अपने जोड़ों में भी एक अजीब दर्द है।","গত কয়েক সপ্তাহ ধরে, আমার বাহু, পা এবং বুকে ত্বকের ফুসকুড়ি ছিল। এটি শুকনো, খালি দাগ সহ লাল এবং বিরক্তিকর। আমার জয়েন্টগুলিতেও আমার এক অদ্ভুত ব্যথা আছে।"
22,Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","मेरी त्वचा छील रही है, विशेष रूप से मेरे घुटनों, कोहनी और खोपड़ी पर। यह छीलना अक्सर एक स्टिंगिंग या जलती हुई भावना के साथ होता है।","আমার ত্বক খোসা ছাড়ছে, বিশেষত আমার হাঁটু, কনুই এবং মাথার ত্বকে। এই খোসাটি প্রায়শই একটি স্টিং বা জ্বলন্ত অনুভূতি সহ থাকে।"
23,Psoriasis,"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","मुझे अपनी उंगलियों, कलाई और घुटनों में संयुक्त असुविधा हो रही है। दर्द अक्सर दर्द होता है और धड़क रहा है, और जब मैं अपने जोड़ों को स्थानांतरित करता हूं तो यह बिगड़ जाता है।","আমি আমার আঙ্গুল, কব্জি এবং হাঁটুতে যৌথ অস্বস্তি করছি। ব্যথা প্রায়শই ব্যথা করে এবং থ্রোবিং করে এবং আমি যখন আমার জয়েন্টগুলি সরিয়ে নিয়ে যায় তখন এটি আরও খারাপ হয়।"
24,Psoriasis,"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.","मेरी त्वचा में एक चांदी की फिल्म है, विशेष रूप से मेरी पीठ, हथियार और खोपड़ी पर। यह धूल छोटे तराजू से बना होता है जो आसानी से खरोंच होने पर छील जाते हैं।","আমার ত্বকের একটি রৌপ্য চলচ্চিত্র রয়েছে, বিশেষত আমার পিঠে, অস্ত্র এবং মাথার ত্বকে। এই ধুলা ছোট ছোট স্কেলগুলির সমন্বয়ে গঠিত যা স্ক্র্যাচ করার সময় সহজেই খোসা ছাড়ায়।"
25,Psoriasis,"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","मेरे मुंह, नाक और आंखों के चारों ओर लाल और भड़काऊ त्वचा है। यह अक्सर परेशान और अप्रिय होता है। हाल ही में, यह बहुत दर्दनाक हो गया है।","আমার মুখ, নাক এবং চোখের চারপাশে লাল এবং প্রদাহজনক ত্বক রয়েছে। এটি প্রায়শই বিরক্তিকর এবং অপ্রীতিকর হয়। সম্প্রতি, এটি খুব বেদনাদায়ক হয়েছে।"
26,Psoriasis,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,मेरी त्वचा बेहद संवेदनशील है और तापमान या आर्द्रता में परिवर्तन से जल्दी से चिढ़ जाती है। मेरे नाखूनों ने उन पर डेंट विकसित किया है। मैं इस अचानक बदलाव को लेकर चिंतित हूं।,আমার ত্বক অত্যন্ত সংবেদনশীল এবং তাপমাত্রা বা আর্দ্রতার পরিবর্তনের দ্বারা দ্রুত বিরক্ত হয়। আমার নখ তাদের উপর ডেন্ট বিকাশ করেছে। আমি এই হঠাৎ পরিবর্তন সম্পর্কে উদ্বিগ্ন।
27,Psoriasis,"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","मैंने अपने शरीर के विभिन्न क्षेत्रों में त्वचा का अचानक छीलते हुए देखा है, ज्यादातर मेरे हाथ, पैर और पीठ। इसके अलावा, मुझे महत्वपूर्ण जोड़ों में दर्द और त्वचा चकत्ते हैं। दाने मेरे शरीर के विभिन्न हिस्सों में फैल रहा है।","আমি আমার দেহের বিভিন্ন অঞ্চলে হঠাৎ ত্বকের খোসা ছাড়তে দেখেছি, বেশিরভাগ আমার বাহু, পা এবং পিছনে। এছাড়াও, আমার উল্লেখযোগ্য জয়েন্ট ব্যথা এবং ত্বকের ফুসকুড়ি রয়েছে। ফুসকুড়ি আমার দেহের বিভিন্ন অংশে ছড়িয়ে পড়ছে।"
28,Psoriasis,"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","मेरी जननांग त्वचा लाल और चिढ़ है। यह अक्सर परेशान, जलन और अप्रिय है। शरीर के विभिन्न स्थानों में भी चकत्ते हैं। इसके अलावा, मुझे अपने जोड़ों में एक अजीब दर्द है।","আমার যৌনাঙ্গে ত্বক লাল এবং বিরক্ত। এটি প্রায়শই বিরক্তিকর, জ্বলন্ত এবং অপ্রীতিকর হয়। দেহের বিভিন্ন জায়গায় ফুসকুড়িও রয়েছে। এছাড়াও, আমার জয়েন্টগুলিতে আমার একটি অদ্ভুত ব্যথা রয়েছে।"
29,Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","मुझे दाने द्वारा उत्पन्न खुजली और दर्द के कारण सोने में परेशानी हुई है। मेरे नाखूनों में बहुत कम डेंट हैं, जो वास्तव में चिंताजनक है। मेरे नाखूनों में एक ध्यान देने योग्य सूजन है।","ফুসকুড়ি দ্বারা উত্পাদিত চুলকানি এবং ব্যথার কারণে আমার ঘুমাতে সমস্যা হয়েছিল। আমার নখগুলিতে সামান্য ডেন্ট রয়েছে, যা সত্যিই উদ্বেগজনক। আমার নখগুলিতে একটি লক্ষণীয় প্রদাহ রয়েছে।"
30,Psoriasis,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.","मेरी त्वचा पर सूखे, परतदार क्षेत्रों के कारण, मैं संक्रमणों के लिए प्रवण हूं। मेरे जोड़ों को पीड़ा देने वाली पीड़ा में है। मेरे घुटनों और कोहनी पर त्वचा परिमित होने लगी है।","আমার ত্বকে শুকনো, ফ্লেকি অঞ্চলগুলির কারণে আমি সংক্রমণের ঝুঁকিতে আছি। আমার জয়েন্টগুলি উদ্বেগজনক যন্ত্রণায় রয়েছে। আমার হাঁটু এবং কনুইয়ের ত্বক ফ্লেক করতে শুরু করেছে।"
31,Psoriasis,"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.","मेरी त्वचा चकत्ते में टूट रही है। जब मैं दाने को खरोंच या रगड़ता हूं, तो यह अक्सर खून बहता है। इसके अलावा, मैंने अपने नाखूनों में थोड़ा डेंट देखा है। मेरे नाखूनों में एक ध्यान देने योग्य सूजन है।","আমার ত্বক ফুসকুড়ি ভেঙে যাচ্ছে। আমি যখন ফুসকুড়িটি স্ক্র্যাচ করি বা ঘষে থাকি তখন এটি প্রায়শই রক্তপাত হয়। এছাড়াও, আমি আমার নখগুলিতে সামান্য ডেন্টগুলি পর্যবেক্ষণ করেছি। আমার নখগুলিতে একটি লক্ষণীয় প্রদাহ রয়েছে।"
32,Psoriasis,"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.","मैंने देखा है कि मेरी त्वचा अब अधिक संवेदनशील है, क्योंकि यह हुआ करता था। मेरी त्वचा में एक चांदी की फिल्म है, खासकर मेरी पीठ और कोहनी पर।","আমি লক্ষ্য করেছি যে আমার ত্বক এখন আগের চেয়ে বেশি সংবেদনশীল। আমার ত্বকের একটি রৌপ্য চলচ্চিত্র রয়েছে, বিশেষত আমার পিঠে এবং কনুইতে।"
33,Psoriasis,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.","मेरी हथेलियों और तलवों ने गंभीर रूप से विकसित और विकसित किए हैं। ये दरारें अप्रिय और अक्सर खून बहती हैं। इसके अलावा, त्वचा छीलने लगी है।","আমার খেজুর এবং তলগুলি বেড়ে উঠেছে এবং মারাত্মক ফিশারগুলি বিকাশ করেছে। এই ফাটলগুলি অপ্রীতিকর এবং ঘন ঘন রক্তপাত হয়। এছাড়াও, ত্বক খোসা ছাড়তে শুরু করে।"
34,Psoriasis,"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.","मेरे नाखून उन पर छोटे गड्ढे होने लगे हैं। मैं चिंतित हूं और नहीं जानता कि इसका क्या कारण है। इसके अलावा, मेरे जोड़ों में दर्द होता है और मेरी बाहों और पीठ पर चकत्ते होते हैं।","আমার নখগুলি তাদের উপর ছোট ছোট গর্ত হতে শুরু করেছে। আমি উদ্বিগ্ন এবং এটি কী কারণে জানি না। এছাড়াও, আমার জয়েন্টগুলি ব্যথা করে এবং আমার বাহুতে এবং পিঠে ফুসকুড়ি রয়েছে।"
35,Psoriasis,"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.","मेरी त्वचा पर धूल की तरह एक चांदी है। इसके अलावा, मेरी बाहों और पीठ पर त्वचा छीलने लगी है। यह अजीब है और वास्तव में मेरे विषय में है।","আমার ত্বকে ধুলাবালি করার মতো রৌপ্য রয়েছে। তদুপরি, আমার বাহুতে এবং পিছনে ত্বকটি খোসা ছাড়তে শুরু করে। এটি আমার সম্পর্কে অদ্ভুত এবং সত্যই।"
36,Psoriasis,"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.","मेरी त्वचा दाने मेरे शरीर के अन्य क्षेत्रों तक फैली हुई है, जिसमें मेरी छाती और पेट शामिल हैं। यह परेशान और अप्रिय है, और यह रात में अक्सर सबसे खराब होता है। मैं भी त्वचा के फ्लेकिंग का अनुभव कर रहा हूं।","আমার ত্বকের ফুসকুড়ি আমার বুক এবং পেট সহ আমার দেহের অন্যান্য অঞ্চলে প্রসারিত হয়েছে। এটি বিরক্তিকর এবং অপ্রীতিকর, এবং এটি রাতে প্রায়শই সবচেয়ে খারাপ হয়। আমি ত্বকের ঝাঁকুনিও অনুভব করছি।"
37,Psoriasis,"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.","हवा के सूखने पर सर्दियों में मेरी त्वचा दाने खराब हो जाती है। मेरी त्वचा को मॉइस्चराइज करने के लिए, मुझे अधिक नियमित रूप से मॉइस्चराइज करना होगा और ह्यूमिडिफायर का उपयोग करना होगा। मैं भी जोड़ों में दर्द का सामना कर रहा हूं।","শীতকালে আমার ত্বকের ফুসকুড়ি আরও খারাপ হয়ে যায় যখন বাতাস শুকিয়ে যায়। আমার ত্বককে ময়শ্চারাইজড রাখতে, আমাকে আরও নিয়মিত ময়শ্চারাইজ করতে হবে এবং হিউমিডিফায়ার ব্যবহার করতে হবে। আমিও জয়েন্ট ব্যথার মুখোমুখি।"
38,Psoriasis,I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,मुझे दाने द्वारा उत्पन्न खुजली और दर्द के कारण सोने में परेशानी हुई है। मेरे नाखूनों में बहुत कम डेंट हैं। मैं अपने शरीर के विभिन्न हिस्सों में त्वचा के छीलने का भी अनुभव कर रहा हूं।,ফুসকুড়ি দ্বারা উত্পাদিত চুলকানি এবং ব্যথার কারণে আমার ঘুমাতে সমস্যা হয়েছিল। আমার নখের সামান্য ডেন্ট আছে। আমি আমার দেহের বিভিন্ন অংশে ত্বকের খোসা ছাড়ারও অভিজ্ঞতা নিচ্ছি।
39,Psoriasis,"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.","मेरी त्वचा स्थानों में छील रही है, विशेष रूप से मेरे घुटनों, कोहनी और हथियारों पर। यह छीलना अक्सर एक दर्दनाक या जलन के साथ होता है। मैं अपने नाखूनों पर छोटे डेंट भी विकसित कर रहा हूं, जो वास्तव में संबंधित है।","আমার ত্বক জায়গাগুলিতে খোসা ছাড়ছে, বিশেষত আমার হাঁটু, কনুই এবং বাহুতে। এই খোসাটি প্রায়শই বেদনাদায়ক বা জ্বলন্ত সংবেদন সহ থাকে। আমি আমার নখগুলিতে ছোট ছোট ডেন্টগুলিও বিকাশ করছি, যা সত্যই সম্পর্কিত।"
40,Psoriasis,"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.","मेरी त्वचा में उस पर एक चांदी की परत है, खासकर मेरी पीठ और बाहों पर। यह डस्टिंग छोटे पैमानों से बना है जो रगड़ने पर आसानी से छीलते हैं। इसके अलावा, मेरे शरीर में पूरे चकत्ते हैं।","আমার ত্বকের উপরে একটি সিলভার স্তর রয়েছে, বিশেষত আমার পিঠে এবং বাহুতে। এই ধুলাবালি ছোট ছোট স্কেলগুলি দিয়ে তৈরি যা ঘষে গেলে সহজেই খোসা ছাড়ায়। এছাড়াও, আমার সারা শরীর জুড়ে ফুসকুড়ি রয়েছে।"
41,Psoriasis,"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.","मेरी भुजाएँ, चेहरे और पीठ सभी लाल और चिढ़ हैं। यह अक्सर परेशान और अप्रिय होता है। मेरे नाखूनों में एक अजीब सूजन है और छोटे डेंट विकसित किए हैं। मैं इस तरह से कुछ भी कभी नहीं देखा है।","আমার বাহু, মুখ এবং পিছনে সমস্ত লাল এবং বিরক্ত। এটি প্রায়শই বিরক্তিকর এবং অপ্রীতিকর হয়। আমার নখগুলিতে একটি অদ্ভুত প্রদাহ রয়েছে এবং এটি ছোট ছোট ডেন্টগুলি বিকাশ করেছে। আমি এর আগে কখনও দেখিনি।"
42,Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.","मुझे दाने द्वारा उत्पन्न खुजली और दर्द के कारण सोने में परेशानी हुई है। मेरे नाखूनों में बहुत कम डेंट हैं, जो वास्तव में चिंताजनक है। इसके अलावा, मेरे जोड़ों में हर रोज दर्द होता है और मुझे नहीं पता कि इसका क्या कारण है।","ফুসকুড়ি দ্বারা উত্পাদিত চুলকানি এবং ব্যথার কারণে আমার ঘুমাতে সমস্যা হয়েছিল। আমার নখগুলিতে সামান্য ডেন্ট রয়েছে, যা সত্যিই উদ্বেগজনক। তদুপরি, আমার জয়েন্টগুলি প্রতিদিন ব্যথা করে এবং এর কারণ কী তা আমার কোনও ধারণা নেই।"
